** net setting **
** dataset setting **
	WIDTH, HEIGHT = 256, 256
	train_dataset.split = train1_ids_gray2_500
	valid_dataset.split = valid1_ids_gray2_43
	len(train_dataset)  = 500
	len(valid_dataset)  = 43
	len(train_loader)   = 62
	len(valid_loader)   = 6
	batch_size  = 8
	iter_accum  = 1
	batch_size*iter_accum  = 8


--- [START 2018-03-28_07-17-35] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	out_dir      = /scratch/ly15/a000_2018-3-21_lr0.001_W256_H256_bc8_train1_ids_gray2_500_valid1_ids_gray2_43

** net setting **
net version 'mask-rcnn-resnet50-fpn'

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 500

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
0.0010   4.1 k   65.6  0.0 m | 0.559   0.03 0.03   0.32 0.01   0.17 | 0.673   0.03 0.04   0.38 0.02   0.20 | 0.622   0.05 0.04   0.34 0.02   0.17 |  9 hr 47 min
0.0010   4.2 k   67.2  0.0 m | 0.540   0.03 0.03   0.32 0.01   0.16 | 0.626   0.03 0.04   0.35 0.02   0.18 | 0.700   0.08 0.04   0.36 0.02   0.19 | 10 hr 07 min
0.0010   4.3 k   68.8  0.0 m | 0.517   0.03 0.03   0.30 0.01   0.15 | 0.644   0.04 0.05   0.36 0.02   0.18 | 0.669   0.05 0.05   0.37 0.02   0.18 | 10 hr 29 min
0.0010   4.4 k   70.4  0.0 m | 0.602   0.03 0.03   0.38 0.01   0.16 | 0.651   0.04 0.04   0.36 0.02   0.19 | 0.428   0.01 0.04   0.22 0.01   0.14 | 10 hr 51 min
0.0010   4.5 k   72.0  0.0 m | 0.623   0.03 0.03   0.41 0.01   0.15 | 0.661   0.04 0.04   0.38 0.02   0.18 | 0.623   0.01 0.04   0.37 0.02   0.18 | 11 hr 11 min
0.0010   4.6 k   73.6  0.0 m | 0.524   0.03 0.03   0.31 0.01   0.15 | 0.631   0.03 0.05   0.35 0.02   0.18 | 0.799   0.06 0.05   0.46 0.02   0.21 | 11 hr 30 min
0.0010   4.7 k   75.2  0.0 m | 0.586   0.03 0.03   0.37 0.01   0.16 | 0.627   0.03 0.04   0.35 0.02   0.18 | 0.559   0.03 0.03   0.31 0.02   0.17 | 11 hr 52 min
0.0010   4.8 k   76.8  0.0 m | 0.567   0.03 0.02   0.35 0.01   0.15 | 0.582   0.03 0.04   0.31 0.02   0.18 | 0.766   0.03 0.05   0.44 0.02   0.22 | 12 hr 14 min
0.0010   4.9 k   78.4  0.0 m | 0.543   0.03 0.03   0.34 0.01   0.15 | 0.646   0.03 0.04   0.37 0.02   0.19 | 0.698   0.04 0.05   0.41 0.02   0.19 | 12 hr 35 min
0.0010   5.0 k   80.0  0.0 m | 0.569   0.03 0.03   0.35 0.01   0.15 | 0.647   0.03 0.04   0.38 0.02   0.18 | 0.684   0.04 0.04   0.38 0.02   0.20 | 12 hr 54 min
0.0010   5.1 k   81.6  0.0 m | 0.615   0.03 0.03   0.40 0.01   0.15 | 0.627   0.03 0.04   0.35 0.02   0.18 | 0.736   0.03 0.04   0.45 0.01   0.19 | 13 hr 15 min
0.0010   5.2 k   83.2  0.0 m | 0.556   0.03 0.02   0.35 0.01   0.15 | 0.651   0.03 0.04   0.37 0.02   0.19 | 0.538   0.03 0.04   0.31 0.01   0.15 | 13 hr 34 min
0.0010   5.3 k   84.8  0.0 m | 0.542   0.03 0.03   0.33 0.01   0.15 | 0.639   0.03 0.04   0.36 0.02   0.19 | 0.488   0.02 0.03   0.26 0.01   0.16 | 13 hr 53 min
0.0010   5.4 k   86.4  0.0 m | 0.595   0.03 0.03   0.38 0.01   0.15 | 0.630   0.03 0.04   0.36 0.02   0.18 | 0.630   0.04 0.05   0.35 0.02   0.18 | 14 hr 11 min
